Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
midtern-product-detail,Chrome 142.0.7444.176,,,28-11-2025 15:56:29,28-11-2025 15:58:40,2m - 10.234s,PASSED
,,,,,,,
Start listener action : sampleBeforeTestSuite,Chrome 142.0.7444.176,,,28-11-2025 15:56:30,28-11-2025 15:56:30,0.118s,PASSED
,,,,,,,
Test Cases/midtern/product-Detail/canClickProduct,Chrome 142.0.7444.176,,,28-11-2025 15:56:30,28-11-2025 15:57:43,1m - 12.742s,PASSED
"openBrowser("""")",Chrome 142.0.7444.176,,,28-11-2025 15:56:30,28-11-2025 15:56:33,2.610s,PASSED
"navigateToUrl(""https://aristino.com/collections/trang-phuc"")",Chrome 142.0.7444.176,,,28-11-2025 15:56:33,28-11-2025 15:57:22,48.660s,PASSED
"alertObj = findTestObject(""Object Repository/midtern/Page_Register/Page_alert/alert_nitification"")",Chrome 142.0.7444.176,,,28-11-2025 15:57:22,28-11-2025 15:57:22,0.092s,PASSED
"btnAllow = findTestObject(""Object Repository/midtern/Page_Register/Page_alert/button_chophep"")",Chrome 142.0.7444.176,,,28-11-2025 15:57:22,28-11-2025 15:57:22,0.011s,PASSED
"btnCloseAd = findTestObject(""Object Repository/midtern/Page_Register/Page_adventis/btn_closeAd"")",Chrome 142.0.7444.176,,,28-11-2025 15:57:22,28-11-2025 15:57:22,0.012s,PASSED
"if (waitForElementVisible(alertObj, 5, OPTIONAL))",Chrome 142.0.7444.176,,,28-11-2025 15:57:22,28-11-2025 15:57:24,2.012s,PASSED
"if (waitForElementVisible(btnCloseAd, 5, OPTIONAL))",Chrome 142.0.7444.176,,,28-11-2025 15:57:24,28-11-2025 15:57:24,0.279s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_home/product""))",Chrome 142.0.7444.176,,,28-11-2025 15:57:24,28-11-2025 15:57:35,11.215s,PASSED
"if (waitForElementVisible(alertObj, 5, OPTIONAL))",Chrome 142.0.7444.176,,,28-11-2025 15:57:35,28-11-2025 15:57:41,5.368s,PASSED
"if (waitForElementVisible(btnCloseAd, 5, OPTIONAL))",Chrome 142.0.7444.176,,,28-11-2025 15:57:41,28-11-2025 15:57:41,0.246s,PASSED
"verifyElementText(findTestObject(""Object Repository/midtern/Page_product-detail/button_addtocart""), ""ĐẶT HÀNG TRƯỚC"")",Chrome 142.0.7444.176,,,28-11-2025 15:57:41,28-11-2025 15:57:41,0.100s,PASSED
"verifyElementClickable(findTestObject(""midtern/Page_product-detail/size_S""))",Chrome 142.0.7444.176,,,28-11-2025 15:57:41,28-11-2025 15:57:41,0.442s,PASSED
"verifyElementClickable(findTestObject(""midtern/Page_product-detail/size_M""))",Chrome 142.0.7444.176,,,28-11-2025 15:57:41,28-11-2025 15:57:42,0.316s,PASSED
"verifyElementClickable(findTestObject(""midtern/Page_product-detail/size_L""))",Chrome 142.0.7444.176,,,28-11-2025 15:57:42,28-11-2025 15:57:42,0.299s,PASSED
