Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
midtern-product-detail,Edge Chromium 142.0.3595.94,,,28-11-2025 21:11:05,28-11-2025 21:12:30,1m - 24.641s,PASSED
,,,,,,,
Start listener action : sampleBeforeTestSuite,Edge Chromium 142.0.3595.94,,,28-11-2025 21:11:05,28-11-2025 21:11:05,0.118s,PASSED
,,,,,,,
Test Cases/midtern/product-Detail/canClickProduct,Edge Chromium 142.0.3595.94,,,28-11-2025 21:11:06,28-11-2025 21:11:28,21.667s,PASSED
"openBrowser("""")",Edge Chromium 142.0.3595.94,,,28-11-2025 21:11:06,28-11-2025 21:11:09,2.573s,PASSED
"navigateToUrl(""https://aristino.com/collections/trang-phuc"")",Edge Chromium 142.0.3595.94,,,28-11-2025 21:11:09,28-11-2025 21:11:11,2.439s,PASSED
"alertObj = findTestObject(""Object Repository/midtern/Page_Register/Page_alert/alert_nitification"")",Edge Chromium 142.0.3595.94,,,28-11-2025 21:11:11,28-11-2025 21:11:11,0.115s,PASSED
"btnAllow = findTestObject(""Object Repository/midtern/Page_Register/Page_alert/button_chophep"")",Edge Chromium 142.0.3595.94,,,28-11-2025 21:11:11,28-11-2025 21:11:11,0.017s,PASSED
"btnCloseAd = findTestObject(""Object Repository/midtern/Page_Register/Page_adventis/btn_closeAd"")",Edge Chromium 142.0.3595.94,,,28-11-2025 21:11:11,28-11-2025 21:11:11,0.011s,PASSED
"if (waitForElementVisible(alertObj, 5, OPTIONAL))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:11:11,28-11-2025 21:11:17,5.529s,PASSED
"if (waitForElementVisible(btnCloseAd, 5, OPTIONAL))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:11:17,28-11-2025 21:11:17,0.248s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_home/product""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:11:17,28-11-2025 21:11:22,4.645s,PASSED
"if (waitForElementVisible(alertObj, 5, OPTIONAL))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:11:22,28-11-2025 21:11:25,3.604s,PASSED
"if (waitForElementVisible(btnCloseAd, 5, OPTIONAL))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:11:25,28-11-2025 21:11:26,0.221s,PASSED
"verifyElementText(findTestObject(""Object Repository/midtern/Page_product-detail/button_addtocart""), ""ĐẶT HÀNG TRƯỚC"")",Edge Chromium 142.0.3595.94,,,28-11-2025 21:11:26,28-11-2025 21:11:26,0.085s,PASSED
"verifyElementClickable(findTestObject(""midtern/Page_product-detail/size_S""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:11:26,28-11-2025 21:11:26,0.450s,PASSED
"verifyElementClickable(findTestObject(""midtern/Page_product-detail/size_M""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:11:26,28-11-2025 21:11:26,0.317s,PASSED
"verifyElementClickable(findTestObject(""midtern/Page_product-detail/size_L""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:11:26,28-11-2025 21:11:27,0.338s,PASSED
