Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
midtern-product-detail,Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:05,28-11-2025 21:14:35,1m - 30.193s,PASSED
,,,,,,,
Start listener action : sampleBeforeTestSuite,Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:05,28-11-2025 21:13:05,0.152s,PASSED
,,,,,,,
Test Cases/midtern/product-Detail/canClickProduct,Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:06,28-11-2025 21:13:29,23.047s,PASSED
"openBrowser("""")",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:06,28-11-2025 21:13:09,2.894s,PASSED
"navigateToUrl(""https://aristino.com/collections/trang-phuc"")",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:09,28-11-2025 21:13:15,5.651s,PASSED
"alertObj = findTestObject(""Object Repository/midtern/Page_Register/Page_alert/alert_nitification"")",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:15,28-11-2025 21:13:15,0.113s,PASSED
"btnAllow = findTestObject(""Object Repository/midtern/Page_Register/Page_alert/button_chophep"")",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:15,28-11-2025 21:13:15,0.013s,PASSED
"btnCloseAd = findTestObject(""Object Repository/midtern/Page_Register/Page_adventis/btn_closeAd"")",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:15,28-11-2025 21:13:15,0.013s,PASSED
"if (waitForElementVisible(alertObj, 5, OPTIONAL))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:15,28-11-2025 21:13:19,3.851s,PASSED
"if (waitForElementVisible(btnCloseAd, 5, OPTIONAL))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:19,28-11-2025 21:13:19,0.317s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_home/product""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:19,28-11-2025 21:13:22,2.566s,PASSED
"if (waitForElementVisible(alertObj, 5, OPTIONAL))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:22,28-11-2025 21:13:27,4.867s,PASSED
"if (waitForElementVisible(btnCloseAd, 5, OPTIONAL))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:27,28-11-2025 21:13:27,0.213s,PASSED
"verifyElementText(findTestObject(""Object Repository/midtern/Page_product-detail/button_addtocart""), ""ĐẶT HÀNG TRƯỚC"")",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:27,28-11-2025 21:13:27,0.080s,PASSED
"verifyElementClickable(findTestObject(""midtern/Page_product-detail/size_S""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:27,28-11-2025 21:13:27,0.462s,PASSED
"verifyElementClickable(findTestObject(""midtern/Page_product-detail/size_M""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:27,28-11-2025 21:13:28,0.344s,PASSED
"verifyElementClickable(findTestObject(""midtern/Page_product-detail/size_L""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:28,28-11-2025 21:13:28,0.376s,PASSED
"verifyElementClickable(findTestObject(""midtern/Page_product-detail/size_XL""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:28,28-11-2025 21:13:29,0.420s,PASSED
"verifyElementClickable(findTestObject(""midtern/Page_product-detail/size_XXL""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:29,28-11-2025 21:13:29,0.334s,PASSED
"verifyElementVisible(findTestObject(""midtern/Page_product-detail/div_image""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:29,28-11-2025 21:13:29,0.060s,PASSED
"verifyElementVisible(findTestObject(""midtern/Page_product-detail/div_image""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:29,28-11-2025 21:13:29,0.046s,PASSED
"click(findTestObject(""midtern/Page_product-detail/div_image""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:29,28-11-2025 21:13:29,0.198s,PASSED
,,,,,,,
Test Cases/midtern/product-Detail/image,Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:29,28-11-2025 21:13:36,7.283s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_product-detail/img_product""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:29,28-11-2025 21:13:30,0.630s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_product-detail/button_next_img""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:30,28-11-2025 21:13:31,1.048s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_product-detail/button_next_img""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:31,28-11-2025 21:13:32,0.713s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_product-detail/button_next_img""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:32,28-11-2025 21:13:32,0.669s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_product-detail/button_next_img""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:32,28-11-2025 21:13:33,0.632s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_product-detail/button_next_img""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:33,28-11-2025 21:13:34,0.614s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_product-detail/button_zoom""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:34,28-11-2025 21:13:34,0.655s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_product-detail/button_zoom""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:34,28-11-2025 21:13:35,0.644s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_product-detail/button_zoom_in""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:35,28-11-2025 21:13:35,0.607s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_product-detail/button_zoom_out""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:35,28-11-2025 21:13:36,0.617s,PASSED
"click(findTestObject(""midtern/Page_product-detail/button_closeImg""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:36,28-11-2025 21:13:36,0.325s,PASSED
,,,,,,,
Test Cases/midtern/product-Detail/add-to-cart-from-pd,Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:36,28-11-2025 21:14:11,34.916s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_productp/label_chose_color""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:13:37,28-11-2025 21:14:07,30.153s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_productp/lsize_M""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:14:07,28-11-2025 21:14:07,0.645s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_productp/saddtocart""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:14:07,28-11-2025 21:14:08,0.669s,PASSED
"verifyElementText(findTestObject(""Object Repository/midtern/Page_productp/titleGiohang""), ""GIỎ HÀNG"")",Edge Chromium 142.0.3595.94,,,28-11-2025 21:14:08,28-11-2025 21:14:10,2.128s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_productp/add1""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:14:10,28-11-2025 21:14:11,0.413s,PASSED
"click(findTestObject(""midtern/Page_product-detail/sclose_cart""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:14:11,28-11-2025 21:14:11,0.715s,PASSED
,,,,,,,
Test Cases/midtern/product-Detail/product-relative,Edge Chromium 142.0.3595.94,,,28-11-2025 21:14:11,28-11-2025 21:14:35,23.650s,PASSED
"navigateToUrl(""https://aristino.com/products/ao-khoac-2-lop-nam-xanh-reu-aristino-regular-fit-ajk606edp01"")",Edge Chromium 142.0.3595.94,,,28-11-2025 21:14:12,28-11-2025 21:14:16,4.442s,PASSED
"alertObj = findTestObject(""midtern/Page_Register/Page_alert/alert_nitification"")",Edge Chromium 142.0.3595.94,,,28-11-2025 21:14:16,28-11-2025 21:14:16,0.011s,PASSED
"btnAllow = findTestObject(""midtern/Page_Register/Page_alert/button_chophep"")",Edge Chromium 142.0.3595.94,,,28-11-2025 21:14:16,28-11-2025 21:14:16,0.005s,PASSED
"if (waitForElementVisible(alertObj, 5, OPTIONAL))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:14:16,28-11-2025 21:14:26,10.464s,PASSED
"btnCloseAd = findTestObject(""midtern/Page_Register/Page_adventis/btn_closeAd"")",Edge Chromium 142.0.3595.94,,,28-11-2025 21:14:26,28-11-2025 21:14:26,0.009s,PASSED
"if (waitForElementVisible(btnCloseAd, 5, OPTIONAL))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:14:26,28-11-2025 21:14:31,5.035s,WARNING
"verifyElementPresent(findTestObject(""Object Repository/midtern/Page_product-detail/div_product-relatetive-list""), 0)",Edge Chromium 142.0.3595.94,,,28-11-2025 21:14:31,28-11-2025 21:14:32,0.894s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/midtern/Page_product-detail/a_product-relative""))",Edge Chromium 142.0.3595.94,,,28-11-2025 21:14:32,28-11-2025 21:14:33,0.408s,PASSED
